model,accuracy,precision,recall,specificity,auc,time_sec,avg_power_watts,energy_wh
mobilenet_v3_small,0.355555556,0.216165982,0.256727216,0,0,308.9063547,94.96415833,8.148619993
mobilenet_v2,0.334343434,0.205018862,0.241198203,0,0,378.9489422,126.0905,13.27273933
resnet18,0.368686869,0.23539292,0.26800346,0,0,345.0398076,122.4131167,11.73261062
googlenet,0.352525253,0.185435366,0.249875495,0,0,378.5973554,123.0011583,12.93553146
alexnet,0.473737374,0.286512873,0.332494561,0,0,272.5952263,103.1106917,7.80763398
resnet50,0.232323232,0.167448464,0.174818622,0,0,577.9545748,127.7335167,20.50671398
densenet169,0.44040404,0.281072352,0.320442452,0,0,820.2645357,134.670554,30.68485541
mobilenet_v3_large,0.249494949,0.138960803,0.177573327,0,0,358.1116505,125.3549583,12.46974195
resnet101,0.346464646,0.244687269,0.256750944,0,0,914.4093902,141.9220391,36.04856811
vgg16,0.475757576,0.158585859,0.333333333,0,0,1157.455576,124.8145471,40.12980377
vgg19,0.475757576,0.158585859,0.333333333,0,0,1324.238764,122.7172046,45.14079982
